"action_allow","Zezwól"
"scenario_edit_add_contition","Dodaj warunki"
"general_enter_text","Wprowadź tekst"
"general_required_fields_info","Wymagane pola"
"general_required_fields_symbol","*"
"scenario_condition_Resources","Zasoby"
"scenario_condition_Equipment","Wyposażenie"
"scenario_condition_VillagerConstraints","Ograniczenia osadników"
"scenario_condition_VillagerStats","Statystyki osadnika"
"scenario_condition_VillagerPerks","Cechy osadnika"
"scenario_condition_VillagerClothes","Ubrania osadnika"
"scenario_condition_Technology","Przedmioty badań"
"villager_constraint_NumberOfVillagers","Liczba osadników"
"villager_constraint_Age","Wiek"
"villager_constraint_Height","Wzrost"
"villager_constraint_Weight","Waga"
"villager_constraint_ForceGender","Ustaw typ ciała"
"villager_constraint_ForceReligion","Ustaw manualnie wiarę"
"villager_constraint_DefaultClothes","Domyślne ubrania"
"villager_constraint_OverrideStats","Unieważnij statystyki"
"villager_constraint_ForcedPerks","Obowiązujące cechy"
"general_kg","kg"
"general_cm","cm"
"general_response","Odpowiedź"
"running_away","Ucieczka"
"edit_Stimulants_profiles","Edytuj profile stymulantów"
"current_phase","Aktualna faza wzrostu"
"general_category","Kategoria"
"report_category_bug","Zgłoszenie błędu"
"report_category_feedback","Opinia"
"report_category_suggestion","Sugestia"
"general_enter_message","Wprowadź wiadomość"
"general_enter_subject","Wprowadź temat"
"general_submit","Prześlij"
"report_message_lenght_warning","Wiadomość musi mieć co najmniej 10 znaków."
"report_title_lenght_warning","Tytuł musi mieć co najmniej 4 znaki."
"report_english_please","Jesteśmy niewielkim zespołem i aktualnie mamy możliwość przetwarzania raportów wyłącznie w języku angielskim. Każdy raport jest dla nas cenny, ponieważ możemy sprawdzić zapis gracza i zrozumieć, co poszło nie tak."
"unit_suffix_meter","m"
"general_priority","Priorytet"
"report_priority_low","Niski"
"report_priority_medium","Średni"
"report_priority_high","Wysoki"
"general_age_short","r"
"structure_change_state","Osadnik przydzielony do dozoru zmieni status tego obiektu na:"
"general_relevant_skills","Powiązane umiejętności"
"general_job_type","Typ pracy"
"jobs_highest_priority"," << Najwyższy priorytet"
"jobs_lowest_priority","Najniższy priorytet >>"
"jobs_first_done","Zadanie „Priorytet 1” zostanie wykonane jako pierwsze."
"jobs_last_done","Zadanie „Priorytet 5” zostanie wykonane jako ostatnie."
"save_made_with_old_version","Zapisana gra pochodzi ze starszej wersji gry."
"is_on_stockpile","W składzie:"
"delete_file_failed","Nie można usunąć pliku {0}"
"general_goto_layer","Przejdź do warstwy"
"menu_action_scroll_wheel_layer","Przytrzymując [<style=Shortcut>Ctrl</style>]<br/> użyj <style=Shortcut>pokrętła myszy,</style> aby szybko przechodzić pomiędzy <style=DefaultBlue>warstwami</style>"
"menu_action_click_layer","<sprite=""ctrl_left_click"" index=t> dowolny obiekt albo podłoże,<br/> aby przeskoczyć do tej <style=DefaultBlue>warstwy.</style>"
"general_select_next","Wybierz następny"
"menu_produced_in","Produkcja w"
"menu_source","Źródło"
"general_copy_settings","Kopiuj ustawienia"
"general_paste_settings","Wklej ustawienia"
"plant_dying","Roślina umiera"
"trade_buy","Pozyskaj"
"trade_sell","Zaoferuj"
"trade_message_cant_continue","Ta transakcja jest nie do przyjęcia. W zamian za oferowane towary [handlarz/handlarka] żąda nieco więcej."
"trade_balance_title","Bilans wymiany"
"trade_balance_desc","Jeżeli bilans jest na korzyść twojej osady (w prawo), otrzymasz więcej niż oferujesz. Jeżeli bilans jest na korzyść [handlarza/handlarki] (w lewo), wtedy dajesz więcej niż otrzymujesz w zamian. Możliwe są wyłącznie transakcje w zakresie progu okazji. Na próg okazji wpływa umiejętność Krasomówstwo osadnika biorącego udział w transakcji."
"trade_balance_bargain","Próg okazji"
"trade_wont_buy","[Handlarz/handlarka] nie dokona wymiany na wskazany rodzaj towaru"
"trade_number_settlement","Ilość wskazanych zasobów posiadanych przez ciebie na wymianę"
"trade_number_merchant","Ilość wskazanych zasobów posiadanych przez [handlarza/handlarkę] na wymianę"
"wealth_price_sell","Wartość uzyskiwana po wymianie tego towaru"
"wealth_price_buy","Wartość uzyskiwana przez kupca po wymianie tego towaru"
"base_trade_value","Wartość podstawowa"
"settler_trade_bonus","Premia handlowa [osadnika/osadniczki]"
"trade_buying","Pozyskujesz"
"trade_selling","Oferujesz"
"trade_total_buy","Całkowita wartość towarów uzyskiwanych od [handlarza/handlarki]"
"trade_total_sell","Całkowita wartość towarów przekazywanych [handlarzowi/handlarce]"
"extortion_demanding","Żądanie"
"extortion_give","Przekaż"
"extortion_take","Weź"
"extortion_negotiator_give","Całkowita wartość, którą przekażesz negocjującemu."
"extortion_demand_title","Żądana wartość"
"extortion_demand_desc","Wartość żądana przez [negocjatora/negocjatorkę]. Jest uzależniona od umiejętności negocjacyjnych [osadnika/osadniczki]."
"extortion_wont_take","[Ten negocjator/Ta negocjatorka] nie przyjmie wskazanego zasobu."
"extortion_number_settlement","Ilość dostępnych zasobów, którą możesz przekazać."
"wealth_price_give","Wartość przekazywanego zasobu"
"extortion_are_you_sure","Czy na pewno chcesz zakończyć negocjacje?"
"extortion_sell_list","To przekazujesz:"
"extortion_message_cant_continue","Transakcja jest nie do przyjęcia. [Negocjator/Negocjatorka] żąda więcej towarów."
"extortion_animal_locked","To zwierzę jest niedostępne"
"trader_leaving","[Handlarz/handlarka] należący do frakcji <faction_name> opuszcza twoją osadę"
"trader_left","[Handlarz/handlarka] z frakcji <faction_name> [opuścił/opuściła] osadę"
"caravan_workers","Członkowie karawany"
"caravan_contents","Zawartość karawany"
"caravan_status_travelling","W drodze"
"caravan_status_arrived","Dotarła na miejsce"
"caravan_status_returning","Powraca"
"caravan_return_home_in","Karawana wyruszy w drogę powrotną za"
"caravan_status","Stan karawany"
"caravan_destination","Cel"
"caravan_to","Karawana do: <village_name>"
"caravan_trade_gift_only_title","Proponujesz prezent?"
"caravan_gift_message","Przekazanie handlarzom towarów mających większą wartość od towarów otrzymanych będzie uważane za prezent i wpłynie korzystnie na wskaźnik zażyłości z frakcją <faction_name>."
"caravan_gift_giving_more","Czy na pewno chcesz zgodzić się na tę transakcję? Wartość oferowanych przez ciebie towarów jest wyższa niż wartość towarów uzyskiwanych w zamian."
"caravan_trade_are_you_sure","Czy na pewno zgadzasz się na tę wymianę towarów?"
"caravan_trade_buy_list","Pozyskujesz:"
"caravan_trade_sell_list","Oferujesz:"
"caravan_trade_finalize_title","Dobij targu"
"caravan_form","Utwórz karawanę kupiecką"
"caravan_mass","Obciążenie"
"caravan_trip","Czas trwania wyprawy"
"caravan_value","Wartość towarów"
"caravan_food","Zapasy żywności"
"caravan_travel_to","Wyprawa do:"
"distance_from_village","Jedn. odległości"
"caravan_message_food","Niewystarczająca ilość żywności do rozpoczęcia wyprawy."
"caravan_message_mass","Karawana nie może wyruszyć z powodu zbyt dużego obciążenia."
"trader_message_mass","[Handlarz/Handlarka] nie może unieść takiego ciężaru"
"negotiator_message_mass","[Negocjator/Negocjatorka] nie może unieść takiego ciężaru."
"message_trader_is_locked","[Handlarz/Handlarka] nie może opuścić osady z powodu uwięzienia albo zamknięcia. Jeżeli nie pozwolisz [mu/jej] odejść, poziom zażyłości twojej osady z frakcją <faction_name> ulegnie pogorszeniu."
"action_caravan_return","Wróć"
"caravan_message_able","Karawanę mogą stworzyć wyłącznie sprawni i nienastawieni buntowniczo osadnicy."
"caravan_message_settler","W osadzie musi pozostać co najmniej jeden sprawny osadnik."
"caravan_canceled","Karawana została rozwiązana."
"caravan_message_left","Karawana wyruszyła w drogę."
"caravan_mesage_arived","Karawana przybyła na miejsce."
"caravan_mesage_back","Karawana powróciła do domu."
"caravan_animal_already_forming","To zwierzę należy do innej karawany"
"caravan_animal_stuck","To zwierzę nie może być częścią karawany, ponieważ nie jest w stanie dotrzeć do krawędzi mapy, aby opuścić to terytorium."
"caravan_message_one_settler","Utworzenie karawany wymaga wybrania co najmniej jednego osadnika"
"caravan_worker_already_forming","[Ten osadnik/Ta osadniczka] już należy do innej karawany"
"caravan_worker_stuck","[Ten osadnik/Ta osadniczka] nie dołączy do karawany, ponieważ nie może dotrzeć na skraj mapy."
"caravan_message_wont_barter","Frakcja <faction_name> nie będzie wymieniać się towarami z twoją karawaną."
"caravan_message_no_gifts","Frakcja <faction_name> nie przyjmie już od ciebie żadnych prezentów."
"caravan_cannot_send_hostile","Frakcja <faction_name> jest nieustannie wrogo nastawiona wobec was. Nie zamierza wymieniać się towarami ani przyjmować prezentów od osady <village_name>."
"caravan_message_hostile","Frakcja <faction_name> jest nastawiona wrogo wobec twojej osady. Nie możesz prowadzić z nią wymiany towarowej."
"friendliness_change","<friendliness_impact> pkt zażyłości w stosunku do frakcji <faction_name>"
"friendliness_stat_change","Obecne nastawienie frakcji <faction_name>: <faction_status>"
"hud_lb_factions","Frakcja"
"faction_friendliness_neutral","Neutralna"
"faction_friendliness_friendly","Przyjazna"
"faction_friendliness_hostile","Wroga"
"faction_friendliness_permanently_hostile","Nieustannie wroga"
"faction_faction","Frakcje"
"faction_status","Status"
"faction_enemy_to","Wróg:"
"faction_settlements","Osady"
"faction_player_friendliness","Zażyłość"
"general_faction","Frakcja"
"center_of_power","Siedziba"
"trader_visitor","[Samotny wędrowiec/Samotna wędrowczyni]"
"action_installbuilding","Umieść"
"action_uninstallbuilding","Usuń"
"action_movebuilding","Przesuń"
"structure_info_uninstall","Osadnik usunie ten obiekt."
"caravan_send_home_tooltip","Wróć"
"action_back_home","Wróć"
"action_caravan","Wyślij karawanę"
"caravan_send_tooltip","Wyślij karawanę"
"action_trade","Wymiana"
"action_gift","Prezent"
"character_hair_colour","Kolor włosów"
"character_hair_type","Typ fryzury"
"character_facial_hair_type","Typ zarostu"
"character_head_type","Głowa"
"character_skin_colour","Kolor skóry"
"character_gender","Postać"
"character_hair","Włosy"
"character_facial_hair","Zarost"
"character_advanced_customization","Zaawansowana personalizacja"
"character_reroll_group","Wylosuj ponownie grupę"
"character_reroll","Wylosuj ponownie postać"
"male_hair_bald","Brak"
"male_hair_fratar","Włosy 1"
"male_hair_long","Włosy 2"
"male_hair_medium","Włosy 3"
"male_hair_stripe","Włosy 4"
"male_hair_afro_A","Włosy 5"
"male_hair_afro_B","Włosy 6"
"male_hair_afro_C","Włosy 7"
"male_hair_afro_D","Włosy 8"
"hair_braids","Włosy 1"
"hair_long","Włosy 2"
"hair_short","Włosy 3"
"hair_shoulders","Włosy 4"
"hair_tail","Włosy 5"
"hair_afro_A","Włosy 6"
"hair_afro_B","Włosy 7"
"hair_afro_C","Włosy 8"
"hair_afro_D","Włosy 9"
"male_head_long","Głowa 1"
"male_head_normal","Głowa 2"
"male_head_round","Głowa 3"
"male_head_square","Głowa 4"
"male_head_wide","Głowa 5"
"head_long","Głowa 1"
"head_normal","Głowa 2"
"head_round","Głowa 3"
"head_square","Głowa 4"
"head_wide","Głowa 5"
"male_beard_braid","Zarost 6"
"male_beard_clasic","Zarost 7"
"male_beard_goate","Zarost 8"
"male_beard_long","Zarost 9"
"male_beard_mutton","Zarost 10"
"male_moustache_long","Zarost 1"
"male_moustache_mutton","Zarost 2"
"male_moustache_short","Zarost 3"
"male_moustache_thick","Zarost 4"
"male_moustache_thin","Zarost 5"
"general_none","Brak"
"gender_male","Męska"
"gender_female","Żeńska"
"character_group_points","Punkty tworzenia grupy"
"character_group_points_info","Użyj punktów tworzenia do wprowadzenia zmian w swojej grupie postaci. Liczba punktów wymaganych do zmiany umiejętności, atutu, tła, pasji i innych elementów jest różna."
"character_point_limit","Nie masz wystarczającej liczby punktów tworzenia"
"character_perk_conflicts","Konflikt z:"
"character_points_cost","Koszt punktów tworzenia"
"character_min_skill","Minimalny poziom umiejętności"
"general_goods_trader_small","[Wędrowny handlarz/Wędrowna handlarka]"
"general_goods_trader_normal","[Handlarz/Handlarka] towarami"
"general_goods_trader_large","[Hurtownik/Hurtowniczka] towarów"
"weapons_trader","[Handlarz/Handlarka] bronią"
"rare_goods_trader","[Handlarz/Handlarka] rzadkimi towarami"
"caravan_is_already_forming","Już tworzona jest karawana udająca się w to miejsce"
"caravan_cannot_send_home_tooltip","Karawana już zmierza w to miejsce"
"caravan_is_already_going","Karawana już zmierza w to miejsce"
"caravan_mesage_returning","Twoja karawana z osady <settlement_name> wyruszyła w drogę powrotną"
"cancel_caravan_confirm","Ta czynność spowoduje rezygnację z tworzenia karawany. Czy chcesz kontynuować?"
"eventOptionEffect_alighment","Ten wybór może wpłynąć na poziom zażyłości z frakcją <faction_name>"
"global_trade_multiplier_name","Inne modyfikatory wartości"
"global_trade_multiplier_info","(Wartość może ulec zmianie ze względu na frakcję, porę roku, status, rodzaj handlarza, a nawet typ terenu, na którym znajduje się osada kupca)"
"caravan_mass_info","Ciężar, jaki może przewieźć karawana. Jeżeli zostanie przekroczony, karawana nie będzie mogła się poruszać."
"caravan_trip_info","Czas trwania podróży karawany do miejsca docelowego (tyle samo potrzeba na powrót). Jest on określany na podstawie liczby pól do pokonania, ich rodzaju oraz pory roku. Podróż w czasie zimy trwa dłużej."
"caravan_value_info","Połączona wartość towarów przewożonych przez karawanę."
"caravan_food_info","Ilość żywności umożliwiającej członkom karawany przeżycie wyprawy."
"caravan_food_info_animals","Zwierzęta znajdujące się w karawanie będą podczas drogi samodzielnie poszukiwać pożywienia."
"caravan_message_hostile_gift","Może ona jednak przyjmować prezenty, które poprawią wskaźnik zażyłości z twoją osadą."
"building_error_no_skilled_botany_worker","Nie jest dostępny żaden osadnik z niezbędnymi umiejętnościami w zakresie botaniki"
"generating_workers_message","Generowanie osadników"
"message_hit_trader","Zraniono osobę, która nie jest wrogo nastawiona wobec twojej osady. Liczba ataków do wywołania wrogości: <hits_count>"
"menu_structure_piles","Zestawy elementów"
"scenario_condition_StructurePiles","Zestawy elementów"
"requires_conscious_worker_selected","[Osadnik musi być przytomny/Osadniczka musi być przytomna]"
"warning_choose_settler_name","Wybierz imię dla [osadnika/osadniczki]"
"general_perk_gained","<name> zyskuje cechę"
"general_died_old_age","<name> umiera naturalną śmiercią podczas snu."
"cropfield_error_no_seeds","Brak nasion do obsiania tego pola"
"production_stopped_temperature","Brak odpowiednich warunków temperaturowych"
"building_mesh_var_title","Odmiany"
"building_mesh_var_info","Zmień wygląd obiektu. Zmiana wizualna w żadnym stopniu nie wpływa na rozgrywkę."
"building_mesh_var_shape","Odmiana kształtu"
"building_mesh_var_material","Odmiana materiału"
"building_mesh_var_rotate","Obróć kształt"
"building_mesh_var_mirror","Odwróć kształt"
"fuel_type","Opał"
"fuel_strength","Jakość opału"
"prioritise_refuel","Priorytet ma uzupełnianie opału:"
"cannot_refuel","Nie można uzupełnić opału; brak surowców"
"plant_roofed","Pod dachem"
"cropfield_under_roof","Pod dachem: <roofed_percent>"
"cropfield_under_roof_info","Wszystkie części tego pola uprawnego znajdują się na zadaszonym obszarze. Roślin nie można siać pod dachem."
"general_sow_period","Okres zasiewu"
"general_dont_sow","Nie obsiewaj"
"general_harvest_phase","Okres zbiorów"
"general_cut_phase","Okres wycinki"
"warning_message_short_crop_blight","Zaraza zbożowa"
"warning_message_info_crop_blight","Każ osadnikom wycinać zainfekowane rośliny, zanim zaraza się rozprzestrzeni."
